%batchNum lastTS numPackets totalBytes avgInterAT stdInterAT avgLength stdLength ipSrc ipDst ipSrcDst ipv4 ipv6 icmp4 icmp6 ipMaskSrc[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] ipMaskDst[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] numTCP numUDP  othersL4 srcPortTCP dstPortTCP srcPortUDP dstPortUDP ipSrcPort ipDstPort tcpSyn tcpFin tcpRes flows flowsTCP flowsUDP flowsOther avgPacketsFlowTCP stdPacketsFlowTCP avgPacketsFlowUDP stdPacketsFlowUDP avgPacketsFlowOther stdPacketsFlowOther avgInterAtFlowTCP stdInterAtFlowTCP avgInterAtFlowUDP stdInterAtFlowUDP avgInterAtFlowOther stdInterAtFlowOther avgLengthFlowTCP stdLengthFlowTCP avgLengthFlowUDP stdLengthFlowUDP avgLengthFlowOther stdLengthFlowOther onePacketFlows httpPackets httpFlows sslPackets sslFlows smtpPackets smtpFlows auxFet
1 600003 47354 39057485 12.674919199814108 459.7604230374829 831.0709619762963 670.1030100732263 3321 1193 4422 47292 62 101 62 3191 3133 3056 2961 2878 2811 2753 2702 2649 2588 2517 2421 2287 2112 1926 1054 954 800 629 470 312 194 118 64 36 20 12 8 5 4 39776 7004 411 1458 39776 824 7004 3950 47293 870 566 346 5638 4215 991 432 9.436773428232502 40.401141005462925 7.067608476286579 27.588075635232293 1.3287037037037037 3.142451272494134 291079.41921708186 149950.66359736194 314074.96972754796 154132.9773827615 333520.875 148864.73306192175 8140.8078291814945 53005.54298397795 4771.44702320888 33985.27096751798 92.5906432748538 235.8589999051495 3086 29330 2650 537 121 287 17 0
2 1100024 46556 37030651 10.744032143701252 12.939104489941005 801.9888465370121 674.5778221544774 3291 1294 4490 46524 32 84 32 3154 3077 2997 2901 2808 2741 2680 2628 2581 2521 2450 2355 2239 2074 1885 1127 1008 827 651 471 322 205 122 69 37 21 13 9 6 5 39259 6705 476 1452 39257 840 6705 4026 46523 904 495 485 5748 4204 1062 482 9.338487155090391 35.57770472168713 6.313559322033898 22.554015514298314 1.2282157676348548 1.890684742806293 794143.1360608944 150309.82809810943 811193.7033898305 148090.20971052523 833693.8734439834 139553.92609557352 7806.000475850583 45918.7391724214 3960.241054613936 26781.461052619856 95.61494252873563 299.0931600535268 3077 28585 2701 511 136 68 17 0
3 1600021 49269 40549502 10.153349442605641 12.480664681125495 829.0709670823962 674.2573020928104 3268 1329 4537 49269 0 120 0 3121 3065 2989 2891 2797 2729 2668 2614 2559 2498 2422 2327 2226 2061 1868 1110 986 829 646 472 314 202 122 66 35 19 11 7 4 3 41550 7116 483 1468 41550 839 7116 4006 49269 995 484 430 5808 4286 1020 502 9.694353709752683 42.64178129369371 6.976470588235294 23.781233332683346 1.201195219123506 1.3835977123001006 1291437.303779748 147178.00541384093 1304688.25 151148.36891469112 1323886.641434263 145196.382871901 8255.213485767616 55705.086995602 5047.987254901961 29602.68620160982 95.82412060301507 361.06483361074055 3176 31595 2752 432 109 70 18 0
4 2100009 50052 41660901 9.994922843207803 12.523392200309246 839.1336005478569 667.6415038406919 3275 1238 4447 49989 63 107 63 3148 3083 3012 2915 2830 2756 2696 2640 2596 2531 2466 2364 2239 2075 1869 1070 962 813 645 473 316 197 117 65 36 20 12 8 5 4 42284 7090 508 1418 42284 765 7090 3906 49990 857 496 468 5625 4186 938 501 10.101290014333493 40.65516365212987 7.55863539445629 26.068386363383105 1.3532934131736527 3.210822517288203 1795418.0683229815 150404.68724525525 1797360.5 150818.51611186704 1859770.4271457086 145983.16423019703 8744.65934065934 54062.95196799108 5356.142857142857 32375.215286323903 169.83597883597884 629.3310297240594 2909 31498 2731 449 82 155 11 0
5 2600004 50744 43026165 9.859472355864026 12.40963154025544 856.0302011419931 669.4813710993978 3306 1241 4560 50620 124 123 124 3176 3114 3040 2952 2854 2787 2727 2675 2604 2545 2482 2377 2267 2088 1898 1092 969 826 656 479 321 208 120 67 36 20 12 8 5 4 42532 7407 558 1405 42532 804 7407 3973 50621 914 692 544 5960 4464 993 503 9.527777777777779 43.51007432883054 7.459214501510574 29.02728167726005 1.6003976143141152 6.165865117251203 2299702.3015232976 150833.15816070593 2301909.3836858007 152943.97018130773 2351066.8250497016 138441.29542258804 8369.28494623656 58476.640858801526 5650.489425981873 36682.7858713729 317.367816091954 1877.2482107669157 3257 32343 3020 373 89 272 15 0
6 3100021 49957 41483919 10.013456955764262 12.546871890345148 838.068202020202 673.2553192279188 3324 1268 4561 49894 63 118 63 3170 3098 3010 2921 2818 2753 2680 2629 2568 2496 2415 2314 2204 2046 1874 1095 979 820 650 471 316 195 115 64 35 20 12 8 5 4 43323 5896 557 1408 43321 752 5896 3984 49893 865 557 351 5916 4468 926 522 9.696284691136974 44.609970442121025 6.367170626349892 24.26952243498957 1.4137931034482758 3.5778158537751636 2792266.8610116383 148288.5363744627 2812434.436285097 154062.23243672217 2842764.641762452 134308.53732020862 8445.847548690395 60174.01007764102 4028.4578833693304 29025.893491976425 145.98342541436463 543.7869667373154 3163 32886 2962 407 99 241 19 0
7 3600006 50212 42360417 9.963554847065856 12.599423864512405 848.8442810195576 671.4556386802136 3351 1216 4454 50182 30 142 30 3187 3108 3020 2917 2822 2754 2680 2632 2574 2514 2448 2359 2239 2075 1882 1074 967 815 644 464 308 196 113 64 36 20 12 8 5 4 42352 7250 438 1366 42352 832 7250 3972 50183 886 493 473 5655 4215 986 454 10.047924080664295 45.87685047224438 7.352941176470588 27.108264646974092 1.3436123348017621 2.218762603116157 3295553.4135231315 152044.9526339318 3303866.2961460445 153460.42662897514 3333998.5176211456 150350.82078720976 8790.58315539739 62519.90637263416 5351.097363083164 33746.4988261197 154.97596153846155 647.762461656099 3016 31740 2731 363 93 229 14 0
8 4433089 43649 36360515 19.091044502497823 1994.4817940777853 839.4516680133903 671.6275358587515 2976 1132 4040 43618 31 85 31 2832 2767 2708 2632 2547 2478 2407 2351 2293 2229 2158 2065 1965 1828 1664 988 890 752 596 434 294 189 114 64 36 20 12 8 5 4 37502 5571 460 1233 37502 694 5570 3557 43619 828 489 389 5184 3948 836 400 9.498986828774063 39.689891500675074 6.663875598086125 23.507583017616753 1.44 2.80490641555115 3764116.662613982 126802.91406226781 3763416.5681818184 124061.91221492374 3797298.26 119768.02415264059 8177.850303951368 53221.222581412796 4844.016746411483 29570.79420948017 175.51048951048952 596.9491491854953 2686 28408 2660 341 83 232 11 0
9 4600012 16910 14549944 9.874475007394262 13.052649738187808 869.962869955157 663.891134303116 1736 794 2331 16879 31 43 31 1667 1639 1598 1539 1484 1451 1419 1389 1355 1320 1295 1255 1212 1143 1063 714 650 569 469 358 256 175 110 62 35 20 12 8 5 4 14500 2138 198 783 14500 383 2138 2081 16880 302 214 189 2838 2190 446 202 6.621004566210046 22.786742119889716 4.79372197309417 14.774386999492139 1.3465346534653466 2.38601536183879 4499781.480365297 48549.529962262466 4502928.852017937 50122.74195967389 4510168.475247525 47561.9371723767 5989.0812785388125 31487.165998663604 3198.4618834080716 18863.044742139224 125.45 315.32084189493935 1495 11270 1462 76 46 16 8 0
10 5100004 49057 39902933 10.198804764624297 12.757703353663619 821.3958419102511 672.6720367155184 3196 1314 4512 48994 63 99 63 3066 3011 2939 2853 2782 2713 2653 2591 2530 2460 2389 2308 2204 2036 1838 1121 998 834 659 471 311 199 118 66 36 20 12 8 5 4 41334 6986 575 1407 41332 800 6985 3901 48993 1010 597 496 5868 4433 937 498 9.324159711256485 39.63088205607209 7.4557097118463185 30.49387152593684 1.4799196787148594 3.781693379860021 4792444.389127002 151416.7153920813 4808444.125933832 148818.8736962338 4847270.602409638 145055.0086253875 7831.374323104693 51902.043869034365 5492.327641408751 38922.72653962654 308.5859872611465 1982.4192564339803 3047 31568 2936 242 110 63 18 0
