%batchNum lastTS numPackets totalBytes avgInterAT stdInterAT avgLength stdLength ipSrc ipDst ipSrcDst ipv4 ipv6 icmp4 icmp6 ipMaskSrc[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] ipMaskDst[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] numTCP numUDP  othersL4 srcPortTCP dstPortTCP srcPortUDP dstPortUDP ipSrcPort ipDstPort tcpSyn tcpFin tcpRes flows flowsTCP flowsUDP flowsOther avgPacketsFlowTCP stdPacketsFlowTCP avgPacketsFlowUDP stdPacketsFlowUDP avgPacketsFlowOther stdPacketsFlowOther avgInterAtFlowTCP stdInterAtFlowTCP avgInterAtFlowUDP stdInterAtFlowUDP avgInterAtFlowOther stdInterAtFlowOther avgLengthFlowTCP stdLengthFlowTCP avgLengthFlowUDP stdLengthFlowUDP avgLengthFlowOther stdLengthFlowOther onePacketFlows httpPackets httpFlows sslPackets sslFlows smtpPackets smtpFlows auxFet
1 550004 46491 37523305 11.836726349315658 232.33497815000544 815.5039445374133 676.014385204592 3357 1248 4503 46463 28 90 28 3222 3146 3054 2958 2859 2784 2714 2663 2607 2541 2467 2359 2240 2092 1914 1100 980 819 653 479 319 206 123 68 37 21 13 9 6 5 39191 6560 622 1375 39191 836 6560 3989 46464 735 607 462 5722 4190 980 552 9.353460620525059 36.45008029102209 6.6938775510204085 27.717875319816596 1.3405797101449275 2.607125131111923 246105.876849642 151810.5200352539 259459.52142857143 150153.80151210536 287895.52173913043 141547.71020773362 7968.12983293556 46690.869618101045 4191.920408163265 32674.312613524504 163.33519553072625 801.7755471034028 3157 28169 2725 877 128 233 29 0
2 1050001 49456 41034260 10.114756751289573 12.679343555918095 837.3747449187821 673.308214246133 3272 1266 4435 49394 62 95 62 3140 3078 2999 2908 2819 2746 2685 2638 2581 2520 2449 2366 2249 2085 1891 1113 986 828 658 479 319 208 122 66 36 20 12 8 5 4 42261 6481 557 1430 42261 824 6481 3970 49395 937 517 418 5721 4255 979 487 9.93207990599295 38.96201108609629 6.620020429009193 25.01888969709045 1.4661190965092403 3.600707208655553 742706.7346650999 148580.1206058293 756261.9397344228 146969.82789009772 800146.092402464 145457.05889452875 8771.941480611045 51122.24192652475 3759.8100102145045 28046.725282618143 182.79375 593.9405536331055 3016 31443 2703 636 133 236 27 0
3 1550011 48003 38127204 10.419917479369843 12.611399909813924 803.4506795911916 680.1028216095169 3344 1242 4478 47852 151 111 151 3220 3156 3081 2990 2901 2831 2763 2697 2648 2597 2515 2415 2293 2144 1958 1102 973 810 646 476 321 199 117 66 36 20 12 8 5 4 40509 6653 579 1364 40507 874 6653 3989 47851 899 554 553 5768 4211 1066 491 9.61980527190691 36.22335983412861 6.241088180112571 25.519591120487178 1.7128309572301426 7.441694614620441 1249235.9679411065 149228.22052903456 1264861.1772983114 150706.93191199732 1290312.6904276987 140356.8841948334 8248.111401425178 47060.65155317658 3149.110694183865 26328.688352232213 255.5303867403315 1753.532779831832 3183 29953 2723 606 146 222 27 0
4 2050002 47554 37602359 10.521789449319277 12.929295309021601 796.9719596456275 676.1612922437482 3349 1347 4565 47554 0 160 0 3212 3145 3059 2965 2875 2802 2743 2695 2637 2583 2507 2427 2328 2153 1967 1144 999 827 652 476 317 199 117 64 35 19 11 7 4 3 40721 6080 593 1471 40721 799 6080 4036 47554 934 530 430 5860 4382 956 522 9.292788680967595 35.13462730128474 6.359832635983263 25.279359665636363 1.4425287356321839 5.369846277329137 1750142.5876312186 150974.3536860623 1759585.8776150628 152096.3045190221 1807695.681992337 148273.75313172658 7850.709036969421 45258.87080628221 3312.710251046025 27134.09539229875 170.71859296482413 1056.2498110374188 3256 30292 2770 512 149 54 15 0
5 2550035 46805 35695878 10.689339689190057 12.847974780265583 771.4306398979967 680.2888080357701 3316 1381 4616 46773 32 103 32 3173 3111 3029 2929 2836 2769 2705 2651 2586 2530 2457 2358 2250 2076 1899 1137 1002 825 652 480 324 200 118 65 36 20 12 8 5 4 39561 6372 737 1509 39561 824 6372 4131 46774 1016 635 489 5960 4350 1007 603 9.094482758620689 35.63493055783986 6.3277060575968225 25.31062240942982 1.4461028192371477 4.611435781492842 2246289.5457471265 152043.02250387712 2262743.8540218472 154463.29442259358 2285069.726368159 143521.48794949538 7398.941609195403 45367.34735599031 3451.7368421052633 27502.463175143046 201.81034482758622 1175.672776333404 3343 29234 2796 476 111 42 16 0
6 3050012 46798 35268124 10.68982768204558 12.672831341480231 760.7212803589147 681.6748636812242 3339 1409 4632 46767 31 108 31 3220 3157 3090 2997 2911 2828 2769 2709 2653 2600 2532 2445 2337 2176 1969 1137 992 834 656 481 326 207 122 66 35 20 12 8 5 4 39360 6676 623 1633 39360 813 6675 4195 46768 1023 525 458 5857 4350 978 529 9.048275862068966 34.75524272036845 6.826175869120655 27.63400146214471 1.440453686200378 4.06120471571074 2745481.7462068964 148570.14943431353 2760607.437627812 154438.9857141656 2790800.7599243857 142913.59127444914 7254.73540229885 43015.76883739478 3759.8486707566462 29098.986837892142 181.1358695652174 1000.2858884817141 3327 28377 2647 603 110 51 16 0
7 3550036 47701 36350378 10.487143995637767 12.438399028634556 769.8354475952477 680.887833936268 3298 1457 4721 47608 93 126 93 3156 3096 3019 2940 2849 2769 2699 2643 2584 2522 2445 2356 2235 2092 1891 1158 1003 818 636 471 321 201 119 66 36 20 12 8 5 4 40454 6446 582 1564 40452 781 6446 4140 47607 1183 721 507 6157 4691 935 531 8.623747601790663 32.94049983720073 6.894117647058824 29.80840781508781 1.5084745762711864 5.135086647524991 3248124.3265828183 151012.55339656098 3258228.480213904 151025.97899849375 3304871.9077212806 142978.2716169049 7059.221961620469 41687.01015647353 3433.858823529412 27258.934662780433 171.6984126984127 942.0230425517269 3504 29460 3065 646 106 98 23 0
8 4050029 48162 38024342 10.385070720917192 12.758505674601144 796.2798358218332 675.5151486995294 3303 1283 4496 48068 94 133 94 3173 3115 3037 2954 2875 2795 2730 2679 2612 2549 2472 2378 2265 2087 1893 1072 936 790 636 463 310 200 120 67 36 20 12 8 5 4 39669 7723 543 1423 39669 798 7723 4010 48069 862 502 376 5702 4257 952 493 9.318534178999295 35.62001256047716 8.112394957983193 38.59970174483109 1.561866125760649 5.672073147721514 3738939.7965703546 147668.6532217329 3762318.3466386553 149568.51365943658 3783103.271805274 149999.94736206648 7750.311252055438 46460.71221412496 5238.6039915966385 44353.65230975106 214.0625 1307.804777686051 3030 29927 2725 445 110 105 20 0
9 4550026 45962 35189660 10.88557744639164 13.028221663140732 771.8465958940164 680.0499539268686 3341 1264 4542 45901 61 131 61 3221 3162 3076 2986 2897 2815 2747 2698 2642 2581 2512 2419 2292 2126 1916 1102 986 815 657 487 327 203 120 66 36 20 12 8 5 4 38173 7126 471 1460 38173 862 7126 4047 45902 923 666 343 5886 4395 1023 468 8.685551763367464 31.090023055006967 6.965786901270772 28.13474768627718 1.4166666666666667 3.8280342414673036 4244155.720819113 147737.83713955976 4260019.596285435 149861.67024498564 4290049.358974359 148736.42721580708 7074.927645051194 39218.12327926262 3973.4115347018574 27746.36493234644 156.17676767676767 845.4216866646067 3196 27218 2900 492 122 106 28 0
10 5050007 45062 35389151 11.104421594972129 13.326962952930412 791.3394602088505 679.3144789500963 3208 1266 4420 44998 64 127 64 3081 3011 2933 2843 2759 2687 2619 2573 2517 2463 2398 2311 2188 2027 1859 1072 957 804 640 467 317 197 115 66 36 20 12 8 5 4 37742 6673 456 1483 37742 818 6673 3961 44999 888 545 458 5636 4234 980 422 8.9140292867265 31.03636232695959 6.809183673469388 27.6901404393517 1.533175355450237 5.180166331571682 4745709.668162494 150727.17599437642 4762109.374489796 153091.7099213536 4794743.907582939 152276.19549113236 7486.337978271138 41011.940858474125 3738.5744897959185 27699.050409697797 154.23783783783784 975.2124785801186 2970 26769 2706 471 111 88 28 0
