%batchNum lastTS numPackets totalBytes avgInterAT stdInterAT avgLength stdLength ipSrc ipDst ipSrcDst ipv4 ipv6 icmp4 icmp6 ipMaskSrc[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] ipMaskDst[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] numTCP numUDP  othersL4 srcPortTCP dstPortTCP srcPortUDP dstPortUDP ipSrcPort ipDstPort tcpSyn tcpFin tcpRes flows flowsTCP flowsUDP flowsOther avgPacketsFlowTCP stdPacketsFlowTCP avgPacketsFlowUDP stdPacketsFlowUDP avgPacketsFlowOther stdPacketsFlowOther avgInterAtFlowTCP stdInterAtFlowTCP avgInterAtFlowUDP stdInterAtFlowUDP avgInterAtFlowOther stdInterAtFlowOther avgLengthFlowTCP stdLengthFlowTCP avgLengthFlowUDP stdLengthFlowUDP avgLengthFlowOther stdLengthFlowOther onePacketFlows httpPackets httpFlows sslPackets sslFlows smtpPackets smtpFlows auxFet
1 600009 44297 36176486 13.548422787725517 475.4816568889795 822.6301475771426 671.1516936767296 3189 1198 4286 44264 33 101 32 3065 3007 2941 2855 2772 2704 2641 2594 2536 2474 2391 2292 2176 2025 1841 1052 932 784 624 451 304 197 118 66 36 20 12 8 5 4 37419 6320 425 1349 37418 801 6320 3813 44265 778 447 454 5415 4031 972 412 9.282808236169686 31.940623404500453 6.502057613168724 23.248700127387096 1.354368932038835 2.464800746195644 290135.8630612751 147691.0710628276 310312.65843621397 148739.7776752601 351368.9854368932 141296.86899595716 7983.526799007444 41472.986572163914 4094.088477366255 27640.797079597272 138.82456140350877 484.28299324244256 2817 26714 2561 423 106 76 16 0
2 1100025 42669 33615649 11.720296275461173 13.760118364950001 795.100144279666 674.3285383086799 3261 1228 4372 42611 58 147 58 3132 3073 2995 2908 2816 2750 2689 2638 2579 2520 2438 2346 2222 2060 1860 1078 960 800 637 456 303 195 117 66 37 21 13 9 6 5 35774 6222 468 1352 35772 800 6222 3891 42610 796 579 427 5603 4134 979 490 8.653604257377843 31.644397995985038 6.355464759959142 22.198358256754016 1.373469387755102 3.32706894354506 797147.530962748 151900.4623200884 821343.0837589377 151722.0110233696 858288.4367346938 143939.33857600554 7163.655456085168 40298.51115350852 4068.003064351379 25952.360650133676 121.28372093023256 500.08778299182075 3045 24882 2671 412 113 68 17 0
3 1600017 42510 32228567 11.767851259119793 13.86712826835175 763.500071069838 675.8202201131368 3105 1153 4204 42448 62 121 62 2994 2945 2874 2779 2694 2634 2573 2514 2463 2406 2341 2250 2125 1977 1793 1022 923 779 617 453 312 196 119 67 36 20 12 8 6 5 35823 6165 339 1330 35823 803 6164 3733 42449 824 559 440 5456 4144 953 359 8.644546332046332 32.58998531538704 6.469045120671564 21.197244866410063 1.4540389972144847 3.6367054789942883 1292371.9416023167 151466.94298331696 1312792.5362014691 150350.9172946096 1353644.0027855153 146709.08817563383 6888.986486486487 38110.76024292137 3841.8142707240295 22100.887525777613 119.12727272727273 546.643881638982 2928 25280 2685 431 121 152 16 0
4 2100022 44151 34107021 11.33058394325984 13.54190951517434 779.2058850406653 672.814814495616 3193 1169 4262 44091 60 131 60 3075 3005 2921 2838 2760 2688 2619 2573 2519 2451 2375 2283 2152 2000 1816 1029 920 781 628 467 312 199 120 68 36 20 12 8 5 4 36940 6509 511 1306 36940 808 6509 3792 44092 766 508 306 5426 3960 1011 455 9.328282828282829 38.16551209051587 6.4381800197823935 22.36087883060841 1.542857142857143 4.9130908335244055 1800424.317171717 152406.57475494736 1811395.8803165182 149910.2245881423 1850115.3516483516 153325.7163630907 7582.865151515151 46037.96101614669 3997.8575667655787 25187.183697827175 195.91623036649216 1440.5955738269652 2953 26971 2567 398 95 130 15 0
5 2600002 42046 31373784 11.89935744883389 13.871751434585411 752.4494915579432 678.191386833944 3269 1178 4331 41983 63 108 63 3131 3062 2982 2887 2813 2740 2674 2631 2579 2516 2433 2339 2222 2065 1869 1063 943 791 627 462 311 197 120 67 36 20 12 8 5 4 34798 6620 457 1300 34798 861 6620 3873 41984 832 473 395 5457 3958 1080 419 8.791814047498736 31.370276369756553 6.12962962962963 21.200039308139658 1.4988066825775657 4.216684668584085 2294229.964881253 151096.755469575 2313754.2685185187 152947.37991124231 2351431.782816229 146976.70437209948 6862.434310257706 35552.745398696534 3873.749074074074 26238.003821217466 164.60227272727272 933.8127215152064 2961 25081 2522 483 91 47 14 0
6 3100036 42612 33122597 11.739435627758475 13.757203015198613 782.9362974518981 672.9332953162308 3228 1245 4360 42549 63 128 63 3088 3023 2950 2866 2777 2703 2631 2578 2511 2452 2376 2282 2186 2024 1834 1081 962 804 638 461 306 190 114 66 36 20 12 8 5 4 35833 6186 402 1338 35831 789 6186 3863 42548 845 500 348 5442 4061 973 408 8.823688746614135 33.00974761456003 6.3576567317574515 20.326320403125703 1.4534313725490196 4.042058299198275 2794924.559960601 149252.9389232249 2808930.2024665982 151067.15973196164 2854038.786764706 143553.78304256173 7244.300738916256 41325.45123283935 3782.1510791366904 23279.74187524437 156.61111111111111 908.7799819293751 2892 25834 2651 346 104 33 15 0
7 3600020 43839 34222647 11.40993108484323 13.558227075380964 786.8077524370057 674.273659796922 3128 1216 4304 43713 126 83 126 3004 2941 2867 2791 2708 2632 2571 2528 2470 2416 2346 2258 2147 1994 1816 1054 936 789 619 456 308 192 116 67 36 20 12 8 5 4 37797 5318 515 1486 37797 791 5318 3897 43714 859 721 419 5714 4416 957 341 8.559103260869565 34.519101779756085 5.556948798328109 17.188061760554607 2.12316715542522 10.33699049211218 3288864.745923913 145489.7444546151 3316255.8631138974 152890.7212497869 3332420.9560117302 138571.52644206482 7130.254528985507 44637.918887934655 2825.9602925809822 17538.285258566964 204.84967320261438 810.7512372037745 3008 27805 2954 308 102 127 24 0
8 4100026 41739 31510706 11.985378715244487 13.793741546386677 762.9817191283292 677.7141116955462 3246 1232 4390 41709 30 96 30 3129 3073 2990 2894 2815 2746 2688 2633 2570 2512 2440 2339 2232 2065 1868 1082 970 813 646 469 313 198 117 64 34 20 12 8 5 4 35063 5857 693 1358 35063 791 5857 3886 41710 817 588 403 5678 4186 946 546 8.376254180602007 31.706568686156757 6.191331923890063 19.83315715214208 1.5 5.78111108881722 3796419.3385093166 149797.94119202482 3806684.656448203 151638.12417089462 3846810.957875458 146017.13885118946 6679.690874343049 39684.37994770701 3710.5264270613106 22591.267143969377 228.74137931034483 1092.0245276391538 3136 24219 2774 538 105 47 19 0
9 4600009 43846 34885703 11.412141960515806 13.571169036171145 801.922763947314 674.3240524963469 3132 1176 4247 43783 63 88 63 3012 2956 2887 2804 2725 2670 2612 2557 2497 2443 2363 2259 2153 2003 1821 1032 920 767 608 451 296 188 115 66 36 20 12 8 5 4 36703 6371 621 1307 36703 788 6370 3735 43784 820 526 408 5488 4162 937 389 8.81859682844786 36.182193538600956 6.7993596584845255 22.61694380942192 1.9845758354755785 9.759577722754102 4294874.444978376 147136.03842781964 4310416.19850587 154353.8679318879 4347091.696658098 154355.94116468428 7319.59827006247 46160.6141544166 4675.178228388474 28521.225270126193 271.2894736842105 1475.7008370690571 2968 26330 2734 329 101 85 19 0
10 5100040 46219 37841510 10.824490767798775 13.209536332518931 828.4161339754816 673.4215657935465 3202 1277 4433 46126 93 100 93 3069 3010 2929 2832 2753 2697 2633 2587 2525 2478 2407 2317 2215 2060 1869 1110 981 829 666 482 324 207 120 67 37 21 13 9 6 5 38646 6673 707 1388 38644 760 6673 3858 46125 864 513 514 5710 4258 919 533 9.076092062000939 34.76124362337036 7.261153427638738 28.569275140361924 1.6885553470919326 6.009685740676342 4800713.612494129 150387.7992697955 4812457.595212188 153220.61194821904 4871117.110694184 143072.41740056162 7707.739018087856 44852.88986103165 5420.29162132753 37333.744823879344 289.6804733727811 1843.3698993416424 3169 27904 2796 406 93 53 21 0
