%batchNum lastTS numPackets totalBytes avgInterAT stdInterAT avgLength stdLength ipSrc ipDst ipSrcDst ipv4 ipv6 icmp4 icmp6 ipMaskSrc[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] ipMaskDst[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] numTCP numUDP  othersL4 srcPortTCP dstPortTCP srcPortUDP dstPortUDP ipSrcPort ipDstPort tcpSyn tcpFin tcpRes flows flowsTCP flowsUDP flowsOther avgPacketsFlowTCP stdPacketsFlowTCP avgPacketsFlowUDP stdPacketsFlowUDP avgPacketsFlowOther stdPacketsFlowOther avgInterAtFlowTCP stdInterAtFlowTCP avgInterAtFlowUDP stdInterAtFlowUDP avgInterAtFlowOther stdInterAtFlowOther avgLengthFlowTCP stdLengthFlowTCP avgLengthFlowUDP stdLengthFlowUDP avgLengthFlowOther stdLengthFlowOther onePacketFlows httpPackets httpFlows sslPackets sslFlows smtpPackets smtpFlows auxFet
1 537515 44276 34016904 12.145145620099866 179.0613807708229 773.6106613299372 679.1333599518377 2982 1265 4170 44185 91 107 91 2869 2799 2729 2660 2571 2516 2459 2412 2370 2309 2237 2143 2044 1910 1734 1064 945 803 625 460 313 198 118 65 35 20 12 8 5 4 35705 8038 335 1431 35705 763 8037 3706 44186 865 484 492 5286 4014 909 363 8.895117090184355 37.176574051360795 8.842684268426842 41.934912110142406 1.4683195592286502 4.822468076318125 237060.01370204284 152009.8236908807 246575.65456545656 152072.18181343836 291619.52341597795 141399.85848838193 7278.031390134529 48555.148672908326 5266.8250825082505 35764.074135246046 87.40782122905028 188.2564517356888 2877 25989 2537 1430 110 258 17 0
2 1037508 44806 34453929 11.164221760778798 13.424609982023556 774.7580220818061 681.0530109200746 3115 1299 4353 44712 94 125 94 2992 2942 2886 2804 2732 2677 2620 2571 2519 2453 2372 2282 2164 2020 1839 1084 959 813 649 484 316 205 122 67 36 20 12 8 5 4 35812 8390 385 1511 35810 763 8389 3866 44711 914 567 307 5486 4157 928 401 8.614866490257397 32.96877828480295 9.04094827586207 50.666325193571026 1.5062344139650872 4.894905489447518 729711.8652874669 148165.18802856022 740750.7737068966 151773.00161277605 781669.3566084788 146311.04722170578 7065.485803657363 41626.19516189198 5465.837284482759 43100.036606200454 88.59701492537313 321.84754278387754 2984 26720 2599 483 112 253 19 0
3 1537538 44360 33023352 11.277395638348256 13.455298579996782 749.4132891571734 680.8063502882725 3019 1213 4094 44272 88 139 88 2910 2860 2797 2722 2656 2607 2559 2511 2458 2401 2329 2256 2138 1998 1837 1043 929 779 625 462 313 204 123 67 37 21 13 9 6 5 34914 8903 316 1456 34914 802 8902 3746 44273 830 519 365 5259 3934 963 362 8.874936451448907 34.06507125806403 9.245067497403946 52.93638298770885 1.5 4.669756935243433 1225885.8380782919 149098.11493869137 1257045.1028037383 152172.51843536526 1276598.0331491712 144640.5244767197 6967.254448398577 40662.64848157766 5812.843198338525 45866.976346034906 88.35449735449735 175.2125240142056 2770 25523 2447 582 110 268 19 0
4 2037507 42598 31253163 225.4432909786974 19761.60105928261 737.4384747882306 680.9048690822781 2989 1213 4062 42598 0 132 0 2880 2836 2774 2693 2621 2576 2523 2473 2415 2361 2293 2204 2104 1953 1785 1048 924 780 626 454 302 194 116 65 36 20 12 8 5 4 34235 7872 359 1406 34230 751 7871 3661 42594 817 461 397 5138 3879 907 352 8.825728280484661 33.247375634694585 8.679162072767365 42.030400611030394 1.3948863636363635 1.9467338614388787 1728096.103377159 153777.9576044336 1744954.1179713341 152647.86012478115 1776860.8948863635 143912.09831577944 6896.574522949974 39027.30796148021 4947.878721058434 35721.84773948322 112.70652173913044 361.4146796301638 2696 23533 2380 1371 105 234 17 0
5 2537506 41728 31021939 62.80146741476047 10376.813000319069 748.0816513540235 683.3845202678048 2983 1204 4053 41665 63 108 63 2873 2814 2750 2674 2598 2551 2495 2449 2402 2347 2294 2218 2109 1961 1791 1052 942 806 642 468 310 197 115 64 35 20 12 8 5 4 33888 7347 322 1410 33887 777 7346 3644 41665 828 491 394 5145 3840 961 344 8.825 31.04230144764828 7.645161290322581 43.34027933337658 1.433139534883721 3.593032663493366 2225240.070052083 153828.3042079403 2241805.2674297607 152794.34407276136 2299605.7093023257 145021.82176135617 7172.061995311279 38803.75501962508 3611.3881373569197 23913.261453085426 107.78571428571429 314.73655839523343 2749 23279 2398 593 138 348 15 0
6 3037513 41875 31361838 11.943247503941146 14.242404303754263 754.4417368294443 682.5906735842359 3049 1190 4104 41844 31 88 31 2915 2866 2800 2721 2639 2584 2528 2474 2432 2378 2309 2234 2124 1992 1809 1039 928 778 602 443 298 191 116 66 36 20 12 8 5 4 34325 7015 416 1416 34323 769 7013 3707 41843 693 487 328 5127 3832 923 372 8.957463465553236 35.95061199940168 7.600216684723727 37.30459381086038 1.4381720430107527 2.67505401412656 2730251.496868476 150320.76431834113 2735602.7388949078 150942.00465501347 2775893.505376344 143135.91090108684 7275.06081962934 43117.21375553457 3759.2979414951246 28081.383036346688 136.41139240506328 526.8519475939557 2789 22891 2339 1444 117 252 14 0
7 3537513 42591 32813449 91.45771191018625 16448.12727084595 776.3265827576417 679.9605465545956 3074 1229 4122 42526 65 103 65 2951 2896 2828 2746 2670 2609 2553 2509 2453 2401 2329 2248 2136 1998 1831 1053 945 790 624 456 319 203 120 65 36 20 12 8 5 4 35315 6733 375 1416 35314 808 6733 3754 42526 784 452 414 5215 3883 944 388 9.094772083440638 32.46437061238529 7.132415254237288 33.222478096124284 1.3994845360824741 3.624088936347548 3227605.5709502962 156828.7726861074 3250480.5137711866 153430.41925080487 3282223.402061856 145529.86540779466 7610.891293147862 41540.253421975256 3442.79343220339 24346.25922683077 112.9320987654321 381.24564356952425 2821 24469 2408 507 118 57 10 0
8 4037503 43586 33967285 264.71065255812886 30527.17601766184 785.7787313778107 679.1107258389292 3089 1246 4213 43527 59 106 59 2963 2899 2820 2739 2656 2596 2536 2490 2441 2382 2323 2225 2112 1980 1811 1085 958 797 631 467 321 204 121 68 36 20 12 8 5 4 36379 6572 470 1432 36376 763 6572 3789 43525 874 540 341 5449 4088 932 429 8.898972602739725 32.951188475043026 7.051502145922747 31.228168339722988 1.4801864801864801 3.5586985913864164 3737616.580479452 163055.18655045496 3742060.6480686697 152276.2704164971 3762592.8601398603 138094.84658097773 7430.494984095913 42502.03628825797 3810.156652360515 29308.893235829077 290.0240963855422 1902.8691019818227 2971 26188 2591 610 145 43 14 0
9 4537524 44206 33827310 11.31589309556677 13.437553111476527 771.2996032650827 678.7919129445611 3052 1285 4195 44113 93 124 93 2928 2864 2803 2731 2645 2586 2534 2485 2431 2370 2313 2220 2105 1959 1804 1109 984 822 636 463 306 196 118 66 36 20 12 8 5 4 37271 6282 436 1415 37270 750 6282 3743 44113 829 626 388 5447 4126 901 420 9.033204071740185 31.14516929683248 6.972253052164262 32.85180122165624 1.5547619047619048 4.849644071377571 4231206.160445953 150806.1250452115 4243481.940066593 150402.04612923376 4289341.735714286 148727.68208057943 7472.424727272727 39506.17414881943 3289.4617092119865 26509.007849363254 209.95287958115182 923.993585798548 2885 26363 2644 618 141 63 18 0
10 5037501 43996 33380410 11.36754274281557 13.746084795939893 763.2834015503167 680.8313241906375 3116 1289 4342 43964 32 184 32 2997 2937 2870 2794 2705 2644 2584 2523 2464 2397 2322 2222 2101 1942 1772 1102 985 822 645 467 305 191 114 65 36 20 12 8 5 4 36836 6572 372 1396 36834 774 6570 3777 43963 904 595 408 5498 4183 935 380 8.806120009562514 31.315595272825608 7.028877005347594 30.65022615962831 1.5473684210526315 2.606671602274683 4734579.802534066 149766.17832642014 4740936.762566845 151879.45309747892 4766317.02368421 147436.75445186658 7232.003586800574 39353.82471337163 3327.100534759358 25675.46366556427 126.08374384236453 357.97824465366637 2906 25642 2653 1184 147 84 19 0
